site_id,statistic_yyy,people_total,area,population_density
高雄市美濃區,106,39973,120.0316,333
高雄市六龜區,106,13016,194.1584,67
高雄市甲仙區,106,6107,124.034,49
高雄市杉林區,106,12038,104.0036,116
高雄市內門區,106,14540,95.6224,152
高雄市茂林區,106,1924,194,10
高雄市桃源區,106,4246,928.98,5
高雄市那瑪夏區,106,3125,252.9895,12
宜蘭縣宜蘭市,106,95918,29.408,3262
宜蘭縣羅東鎮,106,72319,11.3448,6375
宜蘭縣蘇澳鎮,106,40056,89.0196,450
宜蘭縣頭城鎮,106,29398,100.893,291
宜蘭縣礁溪鄉,106,35777,101.4278,353
宜蘭縣壯圍鄉,106,24250,38.4769,630
宜蘭縣員山鄉,106,32458,111.9106,290
宜蘭縣冬山鄉,106,53289,79.8573,667
宜蘭縣五結鄉,106,39673,38.8671,1021
宜蘭縣三星鄉,106,21467,144.2238,149
宜蘭縣大同鄉,106,6102,657.5442,9
宜蘭縣南澳鄉,106,5900,740.652,8
新竹縣竹北市,106,181955,46.8341,3885
新竹縣關西鎮,106,28896,125.5193,230
新竹縣新埔鎮,106,33415,72.1911,463
新竹縣竹東鎮,106,96918,53.5133,1811
新竹縣湖口鄉,106,77444,58.4303,1325
新竹縣橫山鄉,106,13064,66.3502,197
新竹縣新豐鄉,106,56836,46.3496,1226
新竹縣芎林鄉,106,20061,40.7858,492
新竹縣寶山鄉,106,14550,64.7871,225
新竹縣北埔鄉,106,9390,50.6676,185
新竹縣峨眉鄉,106,5538,46.801,118
新竹縣尖石鄉,106,9543,527.5795,18
新竹縣五峰鄉,106,4559,227.728,20
苗栗縣苗栗市,106,89165,37.8878,2353
苗栗縣頭份市,106,103147,53.3205,1934
苗栗縣苑裡鎮,106,45976,68.2473,674
苗栗縣通霄鎮,106,34691,107.8486,322
苗栗縣竹南鎮,106,85587,37.5592,2279
苗栗縣後龍鎮,106,36750,75.8079,485
苗栗縣卓蘭鎮,106,17134,76.3153,225
苗栗縣大湖鄉,106,14738,90.8396,162
苗栗縣公館鄉,106,33773,71.4523,473
苗栗縣銅鑼鄉,106,18138,78.3805,231
苗栗縣南庄鄉,106,10176,165.4938,61
苗栗縣頭屋鄉,106,10840,52.5046,206
苗栗縣三義鄉,106,16530,69.3424,238
苗栗縣西湖鄉,106,7154,41.0758,174
苗栗縣造橋鄉,106,12952,47.9978,270
苗栗縣三灣鄉,106,6756,52.2964,129
苗栗縣獅潭鄉,106,4417,79.4324,56
苗栗縣泰安鄉,106,5883,614.5127,10
彰化縣彰化市,106,233613,65.6947,3556
彰化縣員林市,106,124632,40.038,3113
彰化縣鹿港鎮,106,86799,39.4625,2200
彰化縣和美鎮,106,90986,39.9345,2278
彰化縣北斗鎮,106,33355,19.2547,1732
彰化縣溪湖鎮,106,55686,32.0592,1737
彰化縣田中鎮,106,41890,34.6056,1210
彰化縣二林鎮,106,50980,92.8478,549
彰化縣線西鄉,106,16928,18.0856,936
彰化縣伸港鄉,106,36957,22.3268,1655
彰化縣福興鄉,106,47332,49.8934,949
彰化縣秀水鄉,106,39357,29.3447,1341
彰化縣花壇鄉,106,45924,36.3469,1263
彰化縣芬園鄉,106,23755,38.0204,625
彰化縣大村鄉,106,36870,30.7837,1198
彰化縣埔鹽鄉,106,32587,38.6081,844
彰化縣埔心鄉,106,34836,20.9526,1663
彰化縣永靖鄉,106,37334,20.6382,1809
彰化縣社頭鄉,106,43144,36.1449,1194
彰化縣二水鄉,106,15325,29.4449,520
彰化縣田尾鄉,106,27462,24.0375,1142
彰化縣埤頭鄉,106,30642,42.7508,717
彰化縣芳苑鄉,106,33714,91.3827,369
彰化縣大城鄉,106,16987,63.7406,267
彰化縣竹塘鄉,106,15303,42.1662,363
彰化縣溪州鄉,106,30060,75.831,396
南投縣南投市,106,100180,71.6021,1399
南投縣埔里鎮,106,81033,162.2227,500
南投縣草屯鎮,106,97875,104.0327,941
南投縣竹山鎮,106,55060,247.3339,223
南投縣集集鎮,106,10904,49.7268,219
南投縣名間鄉,106,38796,83.0955,467
南投縣鹿谷鄉,106,17808,141.8981,125
南投縣中寮鄉,106,14842,146.6541,101
南投縣魚池鄉,106,15946,121.3735,131
南投縣國姓鄉,106,18803,175.7042,107
南投縣水里鄉,106,17803,106.8424,167
南投縣信義鄉,106,16253,1422.4188,11
南投縣仁愛鄉,106,15748,1273.5312,12
雲林縣斗六市,106,108567,93.7151,1158
雲林縣斗南鎮,106,44941,48.1505,933
雲林縣虎尾鎮,106,70892,68.742,1031
雲林縣西螺鎮,106,46244,49.7985,929
雲林縣土庫鎮,106,28932,49.0212,590
雲林縣北港鎮,106,40278,41.4999,971
雲林縣古坑鄉,106,31708,166.6059,190
雲林縣大埤鄉,106,19263,44.9973,428
雲林縣莿桐鄉,106,28939,50.8502,569
雲林縣林內鄉,106,18230,37.6035,485
雲林縣二崙鄉,106,27255,59.5625,458
雲林縣崙背鄉,106,24678,58.484,422
雲林縣麥寮鄉,106,45665,80.1668,570
雲林縣東勢鄉,106,14893,48.3562,308
雲林縣褒忠鄉,106,13010,37.0552,351
雲林縣臺西鄉,106,23954,54.0983,443
雲林縣元長鄉,106,25980,71.5872,363
雲林縣四湖鄉,106,23667,77.1189,307
雲林縣口湖鄉,106,27653,80.4612,344
雲林縣水林鄉,106,25624,72.9582,351
嘉義縣太保市,106,37781,66.8964,565
嘉義縣朴子市,106,42382,49.5737,855
嘉義縣布袋鎮,106,27143,61.7307,440
嘉義縣大林鎮,106,31198,64.1663,486
嘉義縣民雄鄉,106,71693,85.4969,839
嘉義縣溪口鄉,106,14751,33.0463,446
嘉義縣新港鄉,106,31935,66.0495,484
嘉義縣六腳鄉,106,23318,62.2619,375
嘉義縣東石鄉,106,24969,81.5821,306
嘉義縣義竹鄉,106,18486,79.2925,233
嘉義縣鹿草鄉,106,15577,54.3151,287
嘉義縣水上鄉,106,49744,69.1198,720
嘉義縣中埔鄉,106,44974,129.5016,347
嘉義縣竹崎鄉,106,35962,162.2256,222
嘉義縣梅山鄉,106,19475,119.7571,163
嘉義縣番路鄉,106,11599,117.5269,99
嘉義縣大埔鄉,106,4564,173.2472,26
嘉義縣阿里山鄉,106,5631,427.8471,13
屏東縣屏東市,106,200452,65.067,3081
屏東縣潮州鎮,106,54377,42.4331,1281
屏東縣東港鎮,106,47866,29.4635,1625
屏東縣恆春鎮,106,30726,136.763,225
屏東縣萬丹鄉,106,50935,57.4679,886
屏東縣長治鄉,106,30008,39.8861,752
屏東縣麟洛鄉,106,11076,16.26,681
屏東縣九如鄉,106,22110,42.0187,526
屏東縣里港鄉,106,26459,68.9208,384
屏東縣鹽埔鄉,106,25997,64.3493,404
屏東縣高樹鄉,106,24622,90.1522,273
屏東縣萬巒鄉,106,20556,60.7315,338
屏東縣內埔鄉,106,54707,81.8554,668
屏東縣竹田鄉,106,17158,29.0732,590
屏東縣新埤鄉,106,9936,59.0102,168
屏東縣枋寮鄉,106,24571,57.7347,426
屏東縣新園鄉,106,35321,38.3109,922
屏東縣崁頂鄉,106,15720,31.2659,503
屏東縣林邊鄉,106,18080,15.6233,1157
屏東縣南州鄉,106,10670,18.97,562
屏東縣佳冬鄉,106,19380,30.9842,625
屏東縣琉球鄉,106,12337,6.8018,1814
屏東縣車城鄉,106,8586,49.8517,172
屏東縣滿州鄉,106,7840,142.2013,55
屏東縣枋山鄉,106,5478,17.2697,317
屏東縣三地門鄉,106,7644,196.3965,39
屏東縣霧臺鄉,106,3246,278.796,12
屏東縣瑪家鄉,106,6746,78.7008,86
屏東縣泰武鄉,106,5271,118.6266,44
屏東縣來義鄉,106,7465,167.7756,44
屏東縣春日鄉,106,4867,160.001,30
屏東縣獅子鄉,106,4806,301.0018,16
屏東縣牡丹鄉,106,4926,181.8366,27
臺東縣臺東市,106,105960,109.7691,965
臺東縣成功鎮,106,14238,143.9939,99
臺東縣關山鎮,106,8742,58.7351,149
臺東縣卑南鄉,106,17399,412.6871,42
臺東縣大武鄉,106,6117,69.1454,88
臺東縣太麻里鄉,106,11163,96.6523,115
臺東縣東河鄉,106,8517,210.1908,41
臺東縣長濱鄉,106,7260,155.1868,47
臺東縣鹿野鄉,106,7951,89.698,89
臺東縣池上鄉,106,8248,82.6854,100
臺東縣綠島鄉,106,3926,15.0919,260
臺東縣延平鄉,106,3551,455.8805,8
臺東縣海端鄉,106,4222,880.0382,5
臺東縣達仁鄉,106,3518,306.4454,11
臺東縣金峰鄉,106,3653,380.6635,10
臺東縣蘭嶼鄉,106,5075,48.3892,105
花蓮縣花蓮市,106,104380,29.4095,3549
花蓮縣鳳林鎮,106,10861,120.5181,90
花蓮縣玉里鎮,106,24345,252.3719,96
花蓮縣新城鄉,106,20185,29.4095,686
花蓮縣吉安鄉,106,83747,65.2582,1283
花蓮縣壽豐鄉,106,18043,218.4448,83
花蓮縣光復鄉,106,12888,157.11,82
花蓮縣豐濱鄉,106,4383,162.4332,27
花蓮縣瑞穗鄉,106,11653,135.5862,86
花蓮縣富里鄉,106,10413,176.3705,59
花蓮縣秀林鄉,106,15889,1641.8555,10
花蓮縣萬榮鄉,106,6384,618.491,10
花蓮縣卓溪鄉,106,6066,1021.313,6
澎湖縣馬公市,106,62308,33.9918,1833
澎湖縣湖西鄉,106,14508,33.3008,436
澎湖縣白沙鄉,106,9817,20.0875,489
澎湖縣西嶼鄉,106,8408,18.7148,449
澎湖縣望安鄉,106,5176,13.7824,376
